s,gate,ball_x,ball_y,ball_z,pen_x,pen_y,pen_z
0.0,0.9997216624942407,3.4088789505510144,0.2512991799610499,0.6584588086998158,2.8262711524120734,0.20834991011749526,0.9861157215827762
0.05235987755982988,0.9896414259046091,2.2551866500662237,1.0508097005243533,-0.5884218976789435,1.9073368563838025,0.8887282437561743,-0.44451203413345863
0.10471975511965977,0.9795611893149776,1.9600449488133096,1.7000182763339906,-0.6663584052955895,1.6973465388108773,1.472170390274847,-0.6578325220366092
0.15707963267948966,0.9694809527253462,2.326905689539724,1.7207841091153413,-0.7727722112279367,2.3429339353266285,1.7326372541616093,-0.9962947708495236
0.20943951023931953,0.9594007161357146,1.8605440493503766,2.286618107165375,-0.7782595482756155,2.1538158855089167,2.647050686612178,-0.9109148705114382
0.2617993877991494,0.9493204795460831,1.6746327451183625,2.5018782869044873,-0.7799277961453353,1.9580177579638987,2.9252515981807368,-0.854120385403981
0.3141592653589793,0.9392402429564516,1.5359043305495308,2.665496025441226,-0.7762551903581557,1.8062575371449228,3.1346824085458795,-0.7863001700917838
0.36651914291880916,0.9291600063668202,1.437947418743791,2.794297824875282,-0.7668583095616829,1.691786648354968,3.2875720558552888,-0.7167471948325207
0.41887902047863906,0.9190797697771886,1.376377048174448,2.897756560570481,-0.7517491181199396,1.605925381978643,3.3810363356374804,-0.6692389116093888
0.47123889803846897,0.9089995331875571,1.3501754983145553,2.980334170562826,-0.7310727702843143,1.540500440432384,3.400451354745358,-0.6800955390599577
0.5235987755982988,0.8989192965979256,1.1568135368849828,3.126570043767989,-0.7050064460064338,1.382446853780448,3.7363989807468894,-0.17845888346862882
0.5759586531581287,0.888839060008294,1.6117961582529554,2.192595460627042,-0.7285017784143613,2.0869820269520747,2.839011183439736,-0.8519885094128975
0.6283185307179586,0.8787588234186625,1.6062923347706244,2.2844814037793193,-0.75194155284259,2.0452010302126884,2.908700751023865,-0.8313467181309314
0.6806784082777885,0.8686785868290311,1.5856932295677602,2.387751114630394,-0.7684589128878252,1.9556335592132548,2.9448105874128743,-0.8448353070663278
0.7330382858376183,0.8585983502393996,1.5334913197948148,2.5104175331383614,-0.7778206299996145,1.8176554123516384,2.9756112457043074,-0.8734847468084024
0.7853981633974483,0.848518113649768,1.43707106522172,2.6543721785002665,-0.7797824500148538,1.6394328004149643,3.028148655453487,-0.8962936312788187
0.8377580409572781,0.8384378770601365,1.2763002887222197,2.8205154661790455,-0.7740890984375519,1.4353851269494788,3.172079475542232,-0.8763216784998727
0.890117918517108,0.8283576404705051,1.018737071143596,3.0054404921325544,-0.7604806303583567,1.1965372549669233,3.5299800294749804,-0.68636302277402
0.9424777960769379,0.8182774038808736,0.6122433920893809,3.192248714993286,-0.7387048933941338,0.7153662728502274,3.7299333806812074,-0.6027711018879243
0.9948376736367678,0.808197167291242,-0.025168098363277006,3.7386070449764137,-0.2504685308907501,-0.026846828986251237,3.98797487734418,0.15403596179176432
1.0471975511965976,0.7981169307016105,-1.0731264352422552,3.602968731955667,-0.17813678633995403,-1.1412556967240748,3.8317093451666477,0.06230490550451362
1.0995574287564276,0.788036694111979,-2.0933614420797335,3.1393023877242228,-0.10242751390777764,-2.2123876637437636,3.317799657407596,0.15580345421247702
1.1519173063162573,0.7779564575223474,-2.751555428914745,2.591249018838929,-0.023911029692938974,-2.6901348038147432,2.5334067770093225,0.7187545713556971
1.2042771838760873,0.767876220932716,-3.1478470530984084,2.0889895138557857,0.05667368571549736,-3.2548839532238856,2.1600218601502674,0.4224196231774644
1.2566370614359172,0.7577959843430845,-3.3767525295031593,1.6710868792397813,0.1383969688943216,-3.2114667498276988,1.5892902727880733,0.8123245945546357
1.308996938995747,0.747715747753453,-3.50090253445347,1.3391745360226535,0.2201278550809506,-3.33754962860774,1.2766883486063967,0.819277212769841
1.361356816555577,0.7376355111638215,-3.558459950402149,1.0835470425818456,0.30054414304715565,-3.51999237375072,1.0718337088653214,0.7336184205797435
1.413716694115407,0.72755527457419,-3.5722650511139586,0.8930017152813245,0.378174042673178,-3.505719200616123,0.8763664550783083,0.789619137432283
1.4660765716752366,0.7174750379845585,-3.556171166703823,0.7579921797102787,0.4514779802792483,-3.3514053428093464,0.7143466728130927,0.9043976299274582
1.5184364492350666,0.7073948013949269,-3.5170278985648213,0.6807104584364665,0.5189703035305516,-3.199328388708824,0.6192206479384135,0.9659572784322271
1.5707963267948966,0.6973145648052954,-3.772433517998968,0.05094616952956981,0.10590050024359188,-3.986271250199814,0.05383401720257578,0.16294748250086546
1.6231562043547263,0.6853520619123902,-3.412909814021282,-0.561077106067081,0.6308515855223925,-2.9726332940468794,-0.48869632568968824,0.9999214219964607
1.6755160819145563,0.6733895590194848,-3.3296647595279945,-0.6500060211845144,0.6740400456928693,-2.9378862520618667,-0.5735243309197668,0.999977845791303
1.7278759594743862,0.6614270561265795,-3.233159372324826,-0.7777048003558552,0.7088925340153491,-2.923736935219606,-0.7032762656122975,0.9999745760870566
