tau,rms,max,worst_x,worst_y,worst_z
0.0,0.7071932134801941,1.0020269861961024,0.07500000000000018,0.0,0.0
0.25,493.21730930421535,1297.1643706995192,0.07500000000000018,0.0,-1.5707963267948966
0.5,1521.0881049274956,3916.732886664034,0.07500000000000018,0.0,-1.5707963267948966
0.75,2530.099625935449,6397.870466777364,0.07500000000000018,0.0,-1.5707963267948966
1.0,2964.162689726173,7426.331372255327,0.07500000000000018,0.0,-3.141592653589793
