Geo,Percentage
United States,96.45254074784276
Netherlands,0.9587727708533078
Finland,0.5752636625119847
Denmark,0.5752636625119847
United Kingdom,0.28763183125599234
Sweden,0.19175455417066153
Singapore,0.19175455417066153
Canada,0.19175455417066153
Portugal,0.09587727708533077
Hungary,0.09587727708533077
Spain,0.09587727708533077
Austria,0.09587727708533077
Poland,0.09587727708533077
Turkey,0.09587727708533077
