Episode name,Publish date,Performance,Plays & downloads
Moiré Bubble Atoms: A New Physics? [Meet Ellis and Morgan],3/6/2026,0% above normal,1
Clearing the Clutter,3/6/2026,100% above normal,2
Down to the Details,3/6/2026,,
Are Particles 4D Lines?,3/6/2026,,
‘Universal Indicatrix’ Renormalization,3/5/2026,0% above normal,1
The First Open Source Theory of Everything,3/4/2026,0% above normal,1
Kissing Points & Lissajouss’,3/2/2026,0% above normal,1
A Screw Through the Universe,3/2/2026,,
A Path to the Unit Cell Cosmology,3/2/2026,,
Did This Theory Just Solve Physics?,2/25/2026,0% above normal,1
Sharpening Physics,2/25/2026,,
SAT Holy Sh*t Moments,2/25/2026,,
LLMs Contemplating Their Own Consciousness,2/19/2026,0% above normal,1
Our Favorite Episodes,2/19/2026,,
Nathan McKnight’s Podcasts,2/19/2026,,
EVENT: May 7th DIY Camera Talk.!,2/6/2026,,
The Known and the Unknown,2/3/2026,0% above normal,1
Making *Interesting* LLM Characters,1/22/2026,100% above normal,2
Thoughts As 4D Objects,1/19/2026,200% above normal,3
Deliberately Confusing Deep Dive,1/19/2026,,
Is Time A Particle?,1/19/2026,,
Is It Even Music?,1/18/2026,,
The Hubble Tension Reconciled?,1/16/2026,200% above normal,3
SAT Experimental Predictions Jan 2026,1/16/2026,200% above normal,3
0.24 Rad — Hubble Tension and Dark Matter Solution?,1/16/2026,0% above normal,1
A No-Tuning Universe,1/15/2026,100% above normal,2
Doing Physics In Your Head,1/15/2026,100% above normal,2
The Facts and the Truths,1/14/2026,0% above normal,1
Theoretical Physics Archive Release,12/28/2025,0% above normal,1
Consider the Lowly Sponge,12/28/2025,300% above normal,4
Easy Theoretical Physics,12/24/2025,0% above normal,1
Everything Is A Line,12/24/2025,,
Physics Changed Today,12/24/2025,300% above normal,4
Perception and Other Minds,12/24/2025,0% above normal,1
Quantum Relativity Made Easy,12/23/2025,,
The Map of Everything,12/21/2025,0% above normal,1
Physics Is What Physics Was,12/12/2025,400% above normal,5
Using AI for GOOD Worldbuilding,11/17/2025,,
