Geo,Percentage
Ohio,58.739837398373986
North Carolina,15.650406504065039
Utah,7.825203252032519
Arizona,2.33739837398374
Pennsylvania,2.2357723577235773
Mississippi,1.7276422764227644
Illinois,1.6260162601626018
Texas,1.2195121951219512
West Virginia,1.1178861788617886
New Jersey,1.0162601626016259
Massachusetts,0.9146341463414633
Washington,0.7113821138211381
California,0.7113821138211381
Oregon,0.7113821138211381
New York,0.6097560975609756
Colorado,0.6097560975609756
Florida,0.40650406504065045
Tennessee,0.3048780487804878
District of Columbia,0.3048780487804878
Georgia,0.20325203252032523
Louisiana,0.20325203252032523
Nebraska,0.20325203252032523
Maryland,0.10162601626016261
Iowa,0.10162601626016261
Michigan,0.10162601626016261
Minnesota,0.10162601626016261
Virginia,0.10162601626016261
New Hampshire,0.10162601626016261
