Age,Total percentage,Male percentage,Female percentage,Non-binary percentage,Not specified percentage
0-17,0.09784735812133072,0.09784735812133072,0,0,0
18-22,7.8277886497064575,0,7.8277886497064575,0,0
23-27,0.4892367906066536,0.19569471624266144,0.29354207436399216,0,0
28-34,2.5440313111545985,1.1741682974559686,1.2720156555772992,0,0.09784735812133072
35-44,25.244618395303327,19.47162426614481,4.305283757338552,0,1.467710371819961
45-59,61.1545988258317,59.49119373776908,1.076320939334638,0,0.5870841487279843
60+,2.641878669275929,1.36986301369863,1.2720156555772992,0,0
Unknown,0,0,0,0,0
