"tau","weight","weightDerivative","maxResidual","x","y","z"
0,0,0.3948984180977755,0.636487687790022,-3.141592653589793,-3.141592653589793,-3.141592653589793
0.03333333333333333,0.04368077884900482,1.0125603894480786,2.468099968849009,-0.28559933214452665,0.28559933214452665,-2.57039398930074
0.06666666666666667,0.07356768513881984,0.7839759881894233,3.9488311470631787,-0.28559933214452665,-0.28559933214452665,-2.57039398930074
0.1,0.10307469511110255,0.6778829604665504,5.431456481972461,-0.28559933214452665,-0.28559933214452665,-2.57039398930074
0.13333333333333333,0.12688090623139311,0.7843446749615817,6.6391623581564,-0.28559933214452665,-0.28559933214452665,-0.8567979964335799
0.16666666666666666,0.15923231851086186,0.8799393519124759,8.289278184127319,-0.28559933214452665,0.28559933214452665,-0.8567979964335799
0.2,0.2005690363481461,1.1311176474371385,10.454509071887664,-0.28559933214452665,0.28559933214452665,-2.57039398930074
0.23333333333333334,0.236919887517016,1.013445373693908,12.237936680250183,-0.28559933214452665,0.28559933214452665,-0.8567979964335799
0.26666666666666666,0.2710550613539705,0.7874444982591174,13.879039487874365,-0.28559933214452665,0.28559933214452665,-1.9991953250116865
0.3,0.2949747778351792,0.6811132017158236,15.047778057795211,-0.28559933214452665,-0.28559933214452665,-1.9991953250116865
0.3333333333333333,0.3236903715443722,3.6883117712696984,17.720588673901624,-0.28559933214452665,0.28559933214452665,-0.28559933214452665
0.36666666666666664,0.3627073346125005,1.0121565160598602,18.505438430243295,-0.28559933214452665,0.28559933214452665,-0.8567979964335799
0.4,0.3992457589659623,1.144156843857703,20.353336350064215,-0.28559933214452665,0.28559933214452665,-0.8567979964335799
0.43333333333333335,0.44046310257300386,1.0101973333661725,22.35139797693465,-0.28559933214452665,0.28559933214452665,-1.9991953250116865
0.4666666666666667,0.4704327230245828,0.7882920341673633,23.77569277722598,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.5,0.4970731792802931,0.2244797556575372,24.95656719941828,-0.28559933214452665,-0.28559933214452665,-1.427996660722633
0.5333333333333333,0.5309214799007157,0.7830972241689282,26.748523457823147,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.5666666666666667,0.5608083907543847,1.0156658308611866,28.26742668689027,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.6,0.6010198097413149,1.1230331012396841,30.257691080053693,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.6333333333333333,0.6372768453174278,1.016590407994764,31.99957726687866,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.6666666666666666,0.6724249858481306,7.940377010053277,36.37109544646135,-0.28559933214452665,0.28559933214452665,-3.141592653589793
0.7,0.7055281021834483,0.6789447326176297,35.23355455704597,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.7333333333333333,0.7292937562512614,0.780499402044862,36.406810869480736,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.7666666666666666,0.7641778779544173,1.0100120515889541,38.143953705860824,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.8,0.8004885082492712,1.1321565606974004,39.92014911829077,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.8333333333333334,0.8403879650536299,5.385683007576171,43.14173052602862,-0.28559933214452665,0.28559933214452665,-0.28559933214452665
0.8666666666666667,0.8760251687747129,0.7907969755360551,43.46109083867432,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.9,0.9000416676687356,0.6832268051132778,44.5828597555451,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.9333333333333333,0.927881931013369,0.7823532968963043,45.93264261124027,-0.28559933214452665,0.28559933214452665,-1.427996660722633
0.9666666666666667,0.9576769363909332,1.0093304219762478,47.402145510801645,-0.28559933214452665,0.28559933214452665,-1.427996660722633
1,1,9.401705341002067,52.20676736598536,-0.28559933214452665,0.28559933214452665,-3.141592653589793
