"tau","bridgeWeight","X","Y","Z"
0,0,4,0,0.25
0.0008340283569641367,0.002286794353045894,3.849568478884896,0.0630256677205901,0.22647964452137168
0.0016680567139282735,0.005866956807492383,3.753160125978467,0.12625946668725682,-0.00431299855263341
0.0025020850708924102,0.006808225892744152,3.7492862359551355,0.18925548532723654,0.020530533467441166
0.003336113427856547,0.011068259286234297,3.840094143934684,0.2515877400485725,0.3070718695739255
0.004170141784820684,0.012009756195972566,3.8306094939888116,0.3141217358985607,0.33161722813352823
0.0050041701417848205,0.012954108821821492,3.8213223241612924,0.376401010768222,0.357423032054838
0.005838198498748957,0.013897807898448017,3.8105351782105203,0.4383876052075591,0.3832259621657086
0.006672226855713094,0.014840499834577577,3.798160030134548,0.5000359843886848,0.40893508843428167
0.007506255212677231,0.01578200197778834,3.784185941318794,0.5613006890964805,0.4345152725571259
0.008340283569641367,0.01672216597652445,3.7686187018880695,0.6221366984138486,0.45994264016109465
0.009174311926605505,0.01766085451451262,3.751470420293054,0.6824995445696421,0.48519690816430894
0.010008340283569641,0.018597935151257,3.7327566611717833,0.7423453895899105,0.5102592958958081
0.010842368640533777,0.019533278263855126,3.712495417449303,0.8016310918464263,0.5351117959345053
0.011676396997497914,0.020466756267823818,3.6907066632566976,0.8603142685575974,0.5597368769822709
0.012510425354462052,0.02139824331297952,3.6674121254135548,0.9183533559079853,0.5841173504246921
0.013344453711426188,0.0223276151794188,3.6426351476375007,0.9757076672952862,0.6082363072818043
0.014178482068390324,0.023254749266115718,3.616400597536582,1.032337449846328,0.6320770884713736
0.015012510425354461,0.024179524625550643,3.5887347944444463,1.0882039392111331,0.6556232720594651
0.0158465387823186,0.025101822022431584,3.559665447662675,1.1432694125921214,0.6788586696994603
0.016680567139282735,0.02602152400543693,3.52922159982381,1.1974972399444253,0.701767328276607
0.01751459549624687,0.026938514986050877,3.4974335725616488,1.2508519332751333,0.7243335346070026
0.01834862385321101,0.027852681321144684,3.464332912935482,1.3032991939669993,0.7465418219723003
0.019182652210175146,0.028763911397320933,3.4299523397304186,1.354805958052703,0.7683769777702748
0.020016680567139282,0.029672095715791148,3.3943256891344507,1.4053404393677942,0.7898240518400118
0.020850708924103418,0.030577126976989246,3.3574878595134843,1.4548721705132965,0.8108683651820427
0.021684737281067554,0.031478900164380964,3.31947475513867,1.5033720415622922,0.8314955188905275
0.022518765638031693,0.032377312627086485,3.2803232288035455,1.5508123364484512,0.8516914031743985
0.02335279399499583,0.03327226416103381,3.240071023321818,1.5971667669783407,0.8714422063821993
0.024186822351959965,0.03416365708842494,3.1987567119320177,1.6424105044133783,0.8907344239699571
0.025020850708924104,0.0350513963353401,3.156419637659232,1.6865202085714321,0.9095548673677452
0.02585487906588824,0.03593538950733455,3.1130998517009143,1.7294740544023446,0.9278906727116111
0.026688907422852376,0.0368155469629034,3.068838050915663,1.771251755995984,0.9457293094152168
0.027522935779816512,0.037691781884704484,3.0236755145026315,1.8118345879858624,0.9630585885608796
0.028356964136780648,0.03856401034843976,2.977654039965653,1.8512054043158324,0.9798666710935493
0.029190992493744787,0.03943215138930452,2.930815878461054,1.8893486543419218,0.9961420758040748
0.030025020850708923,0.04029612706591906,2.8832036696318504,1.9262503962459627,1.011873687090205
0.03085904920767306,0.04115586252166302,2.8348603760337756,1.961898307742287,1.0270507624853151
0.0316930775646372,0.04201128604333622,2.7858292172607784,1.9962816940634431,1.0416629399461002
0.03252710592160133,0.04286232911707312,2.736153603879196,2.029391493215561,1.0557002448914385
0.03336113427856547,0.04370892648144094,2.6858770712808866,2.061220278498696,1.069153096985377
0.03419516263552961,0.04455101617765407,2.635043213566383,2.0917622582922135,1.082012316657831
0.03502919099249374,0.04538853959683939,2.5836956175695183,2.1210132731099574,1.0942691313571615
0.03586321934945788,0.046221441524289475,2.5318777971350293,2.148970789934679,1.1059151815291988
0.03669724770642202,0.04704967018064292,2.479633127760482,2.1756338938458732,1.1169425263177204
0.03753127606338615,0.04787317725993262,2.4270047817134053,2.2010032769598427,1.127343648981748
0.03836530442035029,0.048691917964445344,2.3740356637338187,2.2250812247054306,1.137111462025333
0.039199332777314425,0.049505851036338096,2.3207683474314216,2.247871599463473,1.1462393120358376
0.040033361134278564,0.05031493878595857,2.2672450124855796,2.2693798216025476,1.1547209842269868
0.0408673894912427,0.0511191471168204,2.213507382754835,2.289612847948091,1.1625507066832272
0.041701417848206836,0.05191844554718516,2.1595966654011844,2.308579147726385,1.16972315430222
0.042535446205170975,0.0527128072282071,2.1055534911325418,2.326288676029245,1.1762334524325233
0.04336947456213511,0.05350220895859889,2.0514178556648526,2.3427528448495463,1.1820771802037644
0.04420350291909925,0.05428663119578013,1.9972290625032287,2.3579844917418726,1.1872503735468738
0.045037531276063386,0.05506605806347368,1.9430256671391042,2.371997846166696,1.1917495279021466
0.04587155963302752,0.0558404773557191,1.8888454227579348,2.3848084935804494,1.1955716006131738
0.04670558798999166,0.05660988053727622,1.8347252275492814,2.3964333373377817,1.1987140130048934
0.0475396163469558,0.05737426274039644,1.780701073708308,2.406890558475993,1.2011746521442461
0.04837364470391993,0.058133622757944384,1.72680799821469,2.416199573455337,1.2029518722821613
0.04920767306088407,0.05888796303285738,1.6730800354718278,2.424380989932363,1.204044495975816
0.05004170141784821,0.059637289643936074,1.619550171885943,2.4314565606468657,1.204451814890347
0.05087572977481234,0.0603816122879655,1.5662503024611882,2.4374491355062324,1.204173590279407
