"s","A1","A2","A3","A4","B1","B2","B3","B4"
0,0,0,0,1,0,0,0,-1
0.005235987755982989,0.015462564061189319,0,0,0.999880447409916,-0.6068542916500036,0.3034313051862562,0,-0.7346137160024562
0.010471975511965978,0.03044005782340634,0,0,0.9995365940673245,-0.6167946139102475,0.3084142175023545,0,-0.7241858012234976
0.015707963267948967,0.04494180570750161,0,0,0.9989896066024656,-0.618932726725985,0.30950454617076834,0,-0.7218928006893848
0.020943951023931956,0.05897796223676338,0,0,0.9982592849407407,-0.6190906032505666,0.30961320491752775,0,-0.7217108065614277
0.02617993877991494,0.07255934458108863,0,0,0.9973640967640468,-0.6184526478986226,0.30933232441113984,0,-0.7223779034422244
0.031415926535897934,0.0856972828960855,0,0,0.9963212211451828,-0.6174163728208438,0.308860590467222,0,-0.7234653815000354
0.03665191429188092,0.09840348756619222,0,0,0.9951465990670973,-0.6161527899485602,0.3082834400505553,0,-0.7247875964923801
0.04188790204786391,0.1106899323087896,0,0,0.9938549888617932,-0.6147476109021267,0.3076436612109546,0,-0.7262511635838161
0.047123889803846894,0.12256875200343278,0,0,0.9924600249039359,-0.6132485288892138,0.3069650340146663,0,-0.727804032489234
0.05235987755982988,0.1340521540651586,0,0,0.9909742781679507,-0.6116841891879579,0.30626181576849076,0,-0.7294149387691875
0.05759586531581287,0.14515234217308132,0,0,0.9894093175029578,-0.6100728310933482,0.3055430619757411,0,-0.7310640040654686
0.06283185307179587,0.15588145118630975,0,0,0.9877757706969988,-0.6084266161305749,0.30481479042587717,0,-0.7327380134273959
0.06806784082777885,0.16625149212109336,0,0,0.9860833845915414,-0.6067539617158094,0.3040811480080404,0,-0.734427862603457
0.07330382858376185,0.17627430611980754,0,0,0.9843410836706861,-0.6050608761126125,0.3033450781725872,0,-0.7361270948323425
0.07853981633974483,0.18596152640884875,0,0,0.9825570266888793,-0.6033517601253008,0.30260872176128517,0,-0.7378310206732314
0.08377580409572782,0.19532454731468135,0,0,0.980738661018477,-0.6016299085412484,0.3018736677121591,0,-0.7395361667225329
0.0890117918517108,0.20437449948199932,0,0,0.9788927744965136,-0.5998978348101703,0.30114111538301436,0,-0.741239918255853
0.09424777960769379,0.2131222305128248,0,0,0.977025544630865,-0.5981574876255322,0.30041198282620774,0,-0.7429402806228353
0.09948376736367678,0.22157829031856957,0,0,0.9751425850917904,-0.5964103991918296,0.29968698090653845,0,-0.744635715777162
0.10471975511965977,0.22975292054736113,0,0,0.9732489894677301,-0.594657789063742,0.2989666652052638,0,-0.7463250277204068
0.10995574287564278,0.23765604751540265,0,0,0.9713493723060497,-0.592900638352328,0.29825147310782046,0,-0.7480072805998729
0.11519173063162574,0.24529727813326205,0,0,0.9694479074918947,-0.5911397437181903,0.2975417507852172,0,-0.7496817390976385
0.12042771838760873,0.25268589837546707,0,0,0.9675483640429471,-0.5893757572978795,0.29683777314223375,0,-0.7513478243433667
0.12566370614359174,0.2598308738945233,0,0,0.9656541394159756,-0.5876092166627177,0.29613975878201354,0,-0.7530050808338269
0.1308996938995747,0.2667408524285124,0,0,0.9637682904338108,-0.5858405675985483,0.2954478813813052,0,-0.7546531512841573
0.1361356816555577,0.2734241676949089,0,0,0.9618935619497339,-0.5840701816375548,0.2947622784419228,0,-0.7562917572799535
0.1413716694115407,0.27988884450239143,0,0,0.9600324133710882,-0.5822983697015355,0.294083058098116,0,-0.7579206842292894
0.1466076571675237,0.2861426048474824,0,0,0.9581870431659454,-0.5805253928278981,0.293410304465483,0,-0.7595397695417185
0.15184364492350666,0.2921928747941039,0,0,0.9563594114764371,-0.5787514706818971,0.2927440818831845,0,-0.7611488932567085
0.15707963267948966,0.2980467919619036,0,0,0.9545512609604669,-0.5769767883711544,0.2920844383074794,0,-0.7627479705508972
0.16231562043547265,0.303711213473766,0,0,0.9527641359803026,-0.5752015019454242,0.2914314080480592,0,-0.7643369457005553
0.16755160819145565,0.30919272423458466,0,0,0.950999400252385,-0.5734257428688885,0.2907850139908245,0,-0.765915787181345
0.17278759594743862,0.31449764543241143,0,0,0.9492582530678726,-0.5716496216826679,0.290145269415942,0,-0.7674844836644016
0.1780235837034216,0.31963204316978044,0,0,0.9475417441881449,-0.5698732310240496,0.2895121794944341,0,-0.7690430407243749
0.1832595714594046,0.32460173714757906,0,0,0.9458507875139577,-0.5680966481309027,0.2888857425275305,0,-0.7705914781171347
0.18849555921538758,0.3294123093365385,0,0,0.9441861736212666,-0.5663199369312172,0.2882659509787513,0,-0.772129827516421
0.19373154697137057,0.33406911258244587,0,0,0.9425485812510552,-0.5645431497961207,0.28765279233789426,0,-0.77365813062262
