name,p,q,alpha_phase,beta_phase,alpha_amplitude,alpha_frequency,alpha_modulation_phase,beta_amplitude,beta_frequency,beta_modulation_phase,continuity_certified,curvature_ranked,continuity_exponent,final_max_trace_step,final_max_mu_jump,final_median_trace_step,final_trace_step_ratio,minimum_root_count,maximum_root_count,minimum_connector_length,resolution_counts,max_trace_steps,max_mu_jumps,invalid_reason,score
linear_p5_q-5_b3.141593,5,-5,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.09275446565970785,1.1932404589845411,1.1999607274709183,0.03878436072843689,30.766021060381977,1,3,0.5552598604478618,"[600, 1200, 2400]","[1.3571939203990122, 1.5968984652966391, 1.1932404589845411]","[1.3304733246197955, 1.4960432304056877, 1.1999607274709183]",projection branch not continuity-certified,inf
linear_p5_q-3_b4.712389,5,-3,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.2449088153503522,1.2038969135454196,1.2013136805289633,0.0375480859267003,32.06280383760742,1,3,0.5587478220902354,"[600, 1200, 2400]","[1.691145518692709, 1.5782403288237152, 1.2038969135454196]","[1.6602827275558711, 1.5867617220106476, 1.2013136805289633]",projection branch not continuity-certified,inf
linear_p1_q-5_b0.000000,1,-5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.4577089239599363,1.2066710479504927,1.1942283269389202,0.04038124170037851,29.88196987363026,1,3,0.5556072846938998,"[600, 1200, 2400]","[2.2771003483559125, 1.2628103163024669, 1.2066710479504927]","[2.253973062016522, 1.2464918201119417, 1.1942283269389202]",projection branch not continuity-certified,inf
linear_p2_q-5_b3.141593,2,-5,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.4668615479930121,1.2077235736418934,1.204941523203913,0.040441664227056376,29.863350006103346,1,3,0.5672397456725077,"[600, 1200, 2400]","[2.3081935776262195, 1.2149394160007592, 1.2077235736418934]","[2.3105589941529496, 1.219568146086623, 1.204941523203913]",projection branch not continuity-certified,inf
linear_p1_q-5_b1.570796,1,-5,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,-0.02667687786121358,1.2116189947086986,1.2868423445884547,0.03987421153827363,30.386030167536102,1,3,0.5546398616448759,"[600, 1200, 2400]","[1.167657801761627, 1.5864925896762365, 1.2116189947086986]","[1.1112172560627793, 1.5942948086450008, 1.2868423445884547]",projection branch not continuity-certified,inf
linear_p3_q-5_b1.570796,3,-5,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.23186539430699013,1.226779235261597,1.2161017990128784,0.042998755314358796,28.530575508355057,1,3,0.5689532959040658,"[600, 1200, 2400]","[1.6923258525197709, 1.355619165063368, 1.226779235261597]","[1.6793660130769879, 1.3708250050946567, 1.2161017990128784]",projection branch not continuity-certified,inf
linear_p1_q-1_b3.141593,1,-1,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.23130877535644684,1.2333627069778452,1.229774416398564,0.03289761109520072,37.49095043432423,1,3,0.5552598604478602,"[600, 1200, 2400]","[1.7001840533491634, 1.7735725170396381, 1.2333627069778452]","[1.671140235666413, 1.773140061629702, 1.229774416398564]",projection branch not continuity-certified,inf
linear_p1_q-2_b1.570796,1,-2,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.3396235968672778,1.2416086693721473,1.231622015804826,0.03584851804191338,34.63486741405832,1,3,0.5562730488473683,"[600, 1200, 2400]","[1.989014300331336, 1.480763719603502, 1.2416086693721473]","[1.9830441298578663, 1.4781246993666755, 1.231622015804826]",projection branch not continuity-certified,inf
linear_p5_q-2_b4.712389,5,-2,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.3660836249323317,1.244150977140059,1.2416925883258363,0.03637252481829539,34.20579086426935,1,3,0.5653389339593975,"[600, 1200, 2400]","[2.0676161088535268, 1.4897314319901058, 1.244150977140059]","[2.073547559631276, 1.4760639657067625, 1.2416925883258363]",projection branch not continuity-certified,inf
linear_p1_q-2_b3.141593,1,-2,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.37783941170244745,1.24446706441106,1.2353021026350606,0.03585110036445513,34.71210232768468,1,3,0.5575504154056844,"[600, 1200, 2400]","[2.1021437312004525, 1.4698961601159934, 1.24446706441106]","[2.0884418324377574, 1.4631234543097995, 1.2353021026350606]",projection branch not continuity-certified,inf
linear_p1_q-2_b0.000000,1,-2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.37559514498974433,1.2494871111282655,1.2444994956412998,0.035841492966743146,34.86146942281808,1,3,0.5559982989250547,"[600, 1200, 2400]","[2.1041488833229223, 1.8136489955240132, 1.2494871111282655]","[2.063596781811278, 1.8119785865161888, 1.2444994956412998]",projection branch not continuity-certified,inf
linear_p3_q-2_b3.141593,3,-2,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.3689296728982217,1.2513258037674948,1.2444908866985331,0.036581936852659716,34.206111305900315,1,3,0.5488947597659121,"[600, 1200, 2400]","[2.0877082546385983, 1.3012826503722132, 1.2513258037674948]","[2.087860027961052, 1.310406393483023, 1.2444908866985331]",projection branch not continuity-certified,inf
linear_p3_q-2_b4.712389,3,-2,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.4082456452110125,1.2588463915801993,1.2459899466658892,0.03680387877976951,34.204177204065964,1,3,0.5650050523414265,"[600, 1200, 2400]","[2.2180457324269796, 1.44802191528463, 1.2588463915801993]","[2.214855512076783, 1.4227595537558246, 1.2459899466658892]",projection branch not continuity-certified,inf
linear_p3_q-2_b1.570796,3,-2,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.3958553505239768,1.2619287515849522,1.2546322011514741,0.03663375203608732,34.447160922578895,1,3,0.5570057635950149,"[600, 1200, 2400]","[2.1855891009168835, 1.478640396736356, 1.2619287515849522]","[2.1852468976490975, 1.421191383875837, 1.2546322011514741]",projection branch not continuity-certified,inf
linear_p3_q-3_b4.712389,3,-3,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.3797292734493336,1.2823731482672127,1.290549547905633,0.03787582298622515,33.85730123233473,1,3,0.5715888726596322,"[600, 1200, 2400]","[2.1719129185887645, 1.7042258824338483, 1.2823731482672127]","[2.143751399301713, 1.7122868026845226, 1.290549547905633]",projection branch not continuity-certified,inf
linear_p1_q-3_b4.712389,1,-3,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.34064655835431285,1.2890501748238306,1.2993340853052715,0.037627245743547665,34.25842496178125,1,3,0.560684107960605,"[600, 1200, 2400]","[2.0679613318919565, 1.59202472775404, 1.2890501748238306]","[2.052809039396461, 1.6575773497067807, 1.2993340853052715]",projection branch not continuity-certified,inf
linear_p1_q-3_b0.000000,1,-3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.2762302847727281,1.2895207662335795,1.2886883414501678,0.037355564808442245,34.52017852885339,1,3,0.5548087345472732,"[600, 1200, 2400]","[1.8919018284875058, 1.812001091543699, 1.2895207662335795]","[1.871081578685351, 1.8712534687250333, 1.2886883414501678]",projection branch not continuity-certified,inf
linear_p2_q-1_b4.712389,2,-1,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.2725174298198272,1.2917855393134698,1.2910643029474933,0.03416056120907808,37.815114670018396,1,3,0.5556484628310082,"[600, 1200, 2400]","[1.8853842288470681, 1.383541474476478, 1.2917855393134698]","[1.88426213244494, 1.3816409713024251, 1.2910643029474933]",projection branch not continuity-certified,inf
linear_p2_q-3_b3.141593,2,-3,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.22980398963076332,1.2940044738294005,1.298390939434214,0.039013820256939745,33.16784834982224,1,3,0.5748494907357488,"[600, 1200, 2400]","[1.7799260001106176, 1.2848221210696378, 1.2940044738294005]","[1.8153332776463684, 1.275573354534, 1.298390939434214]",projection branch not continuity-certified,inf
linear_p5_q-3_b1.570796,5,-3,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.2590394097515687,1.2960098902712323,1.2888473803653457,0.038373387480755326,33.77366386851292,1,3,0.5350448333654271,"[600, 1200, 2400]","[1.856564944683306, 1.620146106149035, 1.2960098902712323]","[1.8062270621791265, 1.6005403787715522, 1.2888473803653457]",projection branch not continuity-certified,inf
linear_p5_q-5_b1.570796,5,-5,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.36787683705246477,1.2963856532128246,1.2931785788434207,0.04041404807750688,32.07759961898868,1,3,0.6038587287192494,"[600, 1200, 2400]","[2.159784902459532, 1.5341207492838573, 1.2963856532128246]","[2.1372830238081564, 1.524827251990997, 1.2931785788434207]",projection branch not continuity-certified,inf
linear_p5_q-2_b1.570796,5,-2,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.08810804539795784,1.2977433342206313,1.2952767006420849,0.03552680200743726,36.52857169494059,1,3,0.5608920198011654,"[600, 1200, 2400]","[1.4665420344826796, 1.5742121848658386, 1.2977433342206313]","[1.4643187162970603, 1.6080474726873772, 1.2952767006420849]",projection branch not continuity-certified,inf
linear_p5_q-1_b4.712389,5,-1,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.17634044551922834,1.3030716993681843,1.2991830230815495,0.03367496350744313,38.695563814944244,1,3,0.5830275965440507,"[600, 1200, 2400]","[1.6642372561209549, 1.2194471647797125, 1.3030716993681843]","[1.6561384043477458, 1.2038010040980465, 1.2991830230815495]",projection branch not continuity-certified,inf
linear_p3_q-3_b3.141593,3,-3,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.26587168698706504,1.3032396543764024,1.3184111614598457,0.03720973230024423,35.02416098725463,1,3,0.5552598604478599,"[600, 1200, 2400]","[1.8846246481073916, 1.3251494341221817, 1.3032396543764024]","[1.9001640467143732, 1.2979093505119224, 1.3184111614598457]",projection branch not continuity-certified,inf
linear_p2_q-1_b0.000000,2,-1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,-0.026323526282108368,1.303958185491095,1.293131636223908,0.03419065036673932,38.137858493606956,1,3,0.5549166053710546,"[600, 1200, 2400]","[1.2571991782480767, 1.3263126303965966, 1.303958185491095]","[1.2170177625053866, 1.3280458874602514, 1.293131636223908]",projection branch not continuity-certified,inf
linear_p2_q-5_b0.000000,2,-5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.36815368143272525,1.3099087587815013,1.300939595688814,0.039952332479208756,32.78679059509678,1,3,0.5709571911150959,"[600, 1200, 2400]","[2.1831785786518254, 1.6439752522540325, 1.3099087587815013]","[2.1707298613574633, 1.6499231082774797, 1.300939595688814]",projection branch not continuity-certified,inf
linear_p1_q-1_b4.712389,1,-1,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.2527482840476858,1.3104654498283383,1.311863768746782,0.03383062154712464,38.73607370774772,1,3,0.5715888726596322,"[600, 1200, 2400]","[1.860924795165451, 1.4960092232748614, 1.3104654498283383]","[1.8593407739705372, 1.4854981716121256, 1.311863768746782]",projection branch not continuity-certified,inf
linear_p3_q-1_b3.141593,3,-1,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.275442853236332,1.312896465431326,1.3132885153564167,0.03616745994452513,36.300488545368985,1,3,0.5707681174127888,"[600, 1200, 2400]","[1.9240033607633449, 1.4588158123062795, 1.312896465431326]","[1.916025503485221, 1.4525852421234124, 1.3132885153564167]",projection branch not continuity-certified,inf
linear_p1_q-3_b3.141593,1,-3,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.17297784426163018,1.3175990776348476,1.3185626125987553,0.03847994296909311,34.24119101977715,1,3,0.5426006314823283,"[600, 1200, 2400]","[1.675033127511294, 1.5389650534434258, 1.3175990776348476]","[1.7099503751130907, 1.5921393999813422, 1.3185626125987553]",projection branch not continuity-certified,inf
linear_p2_q-1_b1.570796,2,-1,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.30764471952427697,1.323670025760293,1.323023380237748,0.033805978859223554,39.15490899619803,1,3,0.5548432620859743,"[600, 1200, 2400]","[2.028406542953209, 1.4195449843340548, 1.323670025760293]","[2.023911609094558, 1.4153859162364482, 1.323023380237748]",projection branch not continuity-certified,inf
linear_p5_q-1_b3.141593,5,-1,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.21116820617284043,1.3279131073767887,1.331835309425926,0.03406911340357332,38.97703740178667,1,3,0.5340623001973833,"[600, 1200, 2400]","[1.7800224151716315, 1.63061459444842, 1.3279131073767887]","[1.727149262137774, 1.6075071085989479, 1.331835309425926]",projection branch not continuity-certified,inf
linear_p5_q-2_b0.000000,5,-2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.09471065584575059,1.332422221609943,1.3342947259520541,0.035236771426244505,37.81340252465778,1,3,0.5682988810584274,"[600, 1200, 2400]","[1.5195329569929161, 1.3480006020748723, 1.332422221609943]","[1.5047755890354715, 1.3299952063762595, 1.3342947259520541]",projection branch not continuity-certified,inf
linear_p3_q-3_b1.570796,3,-3,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.2532001760668986,1.3396933707771934,1.343554071746945,0.03949212315400334,33.923052593372354,1,3,0.6038587287192494,"[600, 1200, 2400]","[1.9036674125008481, 1.7181209943552216, 1.3396933707771934]","[1.8927205878351272, 1.713593099209165, 1.343554071746945]",projection branch not continuity-certified,inf
linear_p2_q-5_b1.570796,2,-5,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.3050030464918192,1.3416629229116648,1.3397823902687402,0.04170198891422102,32.17263631409525,1,3,0.5600891327796749,"[600, 1200, 2400]","[2.048534276342988, 1.7343672901878056, 1.3416629229116648]","[1.992917497164966, 1.722359685659777, 1.3397823902687402]",projection branch not continuity-certified,inf
linear_p2_q-1_b3.141593,2,-1,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.2315235294712251,1.352985734225957,1.3557545350969673,0.034525086502590896,39.1884820947349,1,3,0.5541099223784273,"[600, 1200, 2400]","[1.8655504665232931, 1.5333306625403804, 1.352985734225957]","[1.8680352829907454, 1.5361180423163983, 1.3557545350969673]",projection branch not continuity-certified,inf
linear_p1_q-1_b1.570796,1,-1,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.34556926491832374,1.3593824122435232,1.363459066859977,0.03361974340305772,40.43405078814157,1,3,0.6038587287192488,"[600, 1200, 2400]","[2.195764039942777, 1.7839669752882705, 1.3593824122435232]","[2.139883359425361, 1.7903118328870384, 1.363459066859977]",projection branch not continuity-certified,inf
linear_p3_q-5_b3.141593,3,-5,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.1366720846831581,1.3773638929099419,1.3576336182708617,0.039774544041368244,34.629281770707145,1,3,0.5626706888478078,"[600, 1200, 2400]","[1.6650399389728396, 1.8384812972559263, 1.3773638929099419]","[1.6445448491740977, 1.716321247310154, 1.3576336182708617]",projection branch not continuity-certified,inf
linear_p3_q-5_b4.712389,3,-5,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.1431876570378797,1.3814282017481543,1.3160439294108746,0.039589065389676874,34.89418575939333,1,3,0.5411549635542968,"[600, 1200, 2400]","[1.6850628618233474, 1.5685832097546337, 1.3814282017481543]","[1.6778352389573072, 1.5702851316658977, 1.3160439294108746]",projection branch not continuity-certified,inf
linear_p3_q-1_b0.000000,3,-1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.1862384707030273,1.3823501992987615,1.384794900263469,0.034010428058380504,40.64489270543412,1,3,0.5612356492324897,"[600, 1200, 2400]","[1.789971823252446, 1.5761093489135485, 1.3823501992987615]","[1.7845371886715378, 1.5768222400055414, 1.384794900263469]",projection branch not continuity-certified,inf
linear_p2_q-2_b0.000000,2,-2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.23092648326412166,1.3990864420775027,1.4004988205207223,0.0369910017330606,37.82234534154487,1,3,0.5965928236100606,"[600, 1200, 2400]","[1.9275157184898297, 1.5736383273659407, 1.3990864420775027]","[1.912882180124981, 1.5714935729725907, 1.4004988205207223]",projection branch not continuity-certified,inf
linear_p2_q-3_b4.712389,2,-3,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.2592731984329897,1.4133530950651563,1.4085408684662555,0.037343399412360305,37.84746748570914,1,3,0.5350339382763092,"[600, 1200, 2400]","[2.025318415255401, 1.7656081902081167, 1.4133530950651563]","[2.0622415353743895, 1.773472925707102, 1.4085408684662555]",projection branch not continuity-certified,inf
linear_p5_q-5_b0.000000,5,-5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.10093613874120667,1.425854905457007,1.3601778979916321,0.04324142244222762,32.974283104632136,1,3,0.5965928236100623,"[600, 1200, 2400]","[1.640208290138465, 1.5153645264837, 1.425854905457007]","[1.61953840555526, 1.513061444027828, 1.3601778979916321]",projection branch not continuity-certified,inf
linear_p1_q-2_b4.712389,1,-2,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.2059950284351136,1.4317416290900515,1.4184759296508533,0.0361254090109867,39.632537548699325,1,3,0.5457311603643934,"[600, 1200, 2400]","[1.9054444788453904, 1.6203809638521498, 1.4317416290900515]","[1.8709616129979099, 1.6185060847185937, 1.4184759296508533]",projection branch not continuity-certified,inf
linear_p5_q-5_b4.712389,5,-5,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.25682767752634494,1.4540701345607125,1.5095754473015095,0.04105775794088636,35.41523472017727,1,3,0.5715888726596313,"[600, 1200, 2400]","[2.0765316869825123, 1.513418495881441, 1.4540701345607125]","[2.061361464105535, 1.5004666694019797, 1.5095754473015095]",projection branch not continuity-certified,inf
linear_p2_q-2_b1.570796,2,-2,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.1992210412980748,1.4578472205031268,1.4595115018506404,0.03595594790152801,40.5453702540595,1,3,0.6038587287192485,"[600, 1200, 2400]","[1.922127943136042, 2.0818319174100033, 1.4578472205031268]","[1.9823272359240764, 2.0839872877958396, 1.4595115018506404]",projection branch not continuity-certified,inf
linear_p3_q-2_b0.000000,3,-2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.14420389769095576,1.4737774297655746,1.4630429783670267,0.03583276950608243,41.12931961665448,1,3,0.5824741729596798,"[600, 1200, 2400]","[1.8001799956773277, 1.3912103043820208, 1.4737774297655746]","[1.7632151728018082, 1.3808402004152651, 1.4630429783670267]",projection branch not continuity-certified,inf
linear_p3_q-1_b4.712389,3,-1,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.11663114325700247,1.5242085978115425,1.5340535240341266,0.0346478363250905,43.99145111141544,1,3,0.5852661472751388,"[600, 1200, 2400]","[1.7919733088910388, 1.746323549729774, 1.5242085978115425]","[1.7999532644930873, 1.7574596865788388, 1.5340535240341266]",projection branch not continuity-certified,inf
linear_p1_q-1_b0.000000,1,-1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.1598289276993056,1.5682192199289786,1.5649469666183127,0.035780727581704135,43.82860064396401,1,3,0.5965928236100604,"[600, 1200, 2400]","[1.9575782568214306, 1.7300919649884952, 1.5682192199289786]","[1.9289283887229427, 1.7201588699565176, 1.5649469666183127]",projection branch not continuity-certified,inf
linear_p2_q-2_b4.712389,2,-2,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.112181930892033,1.5754815205969406,1.5989739443159077,0.03571507936064528,44.11250230436211,1,3,0.571588872659631,"[600, 1200, 2400]","[1.8408618852300132, 1.8386304550464574, 1.5754815205969406]","[1.8063280429748436, 1.8556827448426927, 1.5989739443159077]",projection branch not continuity-certified,inf
linear_p3_q-1_b1.570796,3,-1,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.14924675863888642,1.5899347043210077,1.5925587382243787,0.03383332385588237,46.993157133882264,1,3,0.5646928495813904,"[600, 1200, 2400]","[1.9557251702530671, 1.6072572850405256, 1.5899347043210077]","[1.95021221924196, 1.6067432433753066, 1.5925587382243787]",projection branch not continuity-certified,inf
linear_p2_q-3_b1.570796,2,-3,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.1657939439259133,1.6255063632029614,1.622923309199053,0.03960731547041739,41.04055889415298,1,3,0.550162839798853,"[600, 1200, 2400]","[2.0458503620730855, 1.4034734015526882, 1.6255063632029614]","[2.0195835841338736, 1.3857052265822989, 1.622923309199053]",projection branch not continuity-certified,inf
linear_p2_q-2_b3.141593,2,-2,0.0,3.141592653589793,0.0,1.0,0.0,0.0,1.0,0.0,False,False,-0.13137570472020324,1.659017684992786,1.64980889272577,0.03440238290641106,48.22391778807914,1,3,0.5552598604478604,"[600, 1200, 2400]","[1.3825396107906605, 1.4139914388504926, 1.659017684992786]","[1.380712120188927, 1.4266673020603235, 1.64980889272577]",projection branch not continuity-certified,inf
linear_p2_q-5_b4.712389,2,-5,0.0,4.71238898038469,0.0,1.0,0.0,0.0,1.0,0.0,False,False,-0.036837031873174275,1.6742490937106003,1.713291233119797,0.041206496645933614,40.630707048370745,1,3,0.561599103987847,"[600, 1200, 2400]","[1.5908174279026386, 1.60211117582938, 1.6742490937106003]","[1.5301462480453534, 1.5139491282668986, 1.713291233119797]",projection branch not continuity-certified,inf
previous_modulated_reference,9,-13,0.0,0.7,0.15,2.0,0.0,0.22,3.0,0.0,False,False,-0.16205159862916957,1.697305228018904,1.544117723234749,0.041744245618334945,40.65962153292362,1,3,0.561444228737758,"[600, 1200, 2400]","[1.3556025090210155, 2.0273077003583526, 1.697305228018904]","[1.401192320728536, 1.9074212158281456, 1.544117723234749]",projection branch not continuity-certified,inf
linear_p1_q-3_b1.570796,1,-3,0.0,1.5707963267948966,0.0,1.0,0.0,0.0,1.0,0.0,False,False,0.02592095722171803,1.8264654355012102,1.7593739595015028,0.03804354397302448,48.009865663312056,1,3,0.563190848665686,"[600, 1200, 2400]","[1.8934122561900644, 2.175575901985667, 1.8264654355012102]","[1.89386271501342, 2.0024072351271576, 1.7593739595015028]",projection branch not continuity-certified,inf
