tau,rms,max,worst_x,worst_y,worst_z
0.0,0.7557067077892115,1.2529522292377897,0.017677669529663653,0.017677669529663653,0.0
0.03333333333333333,619.7650798430138,2106.594196611766,0.02499999999999991,0.0,-1.5707963267948966
0.06666666666666667,2353.954888678287,7991.967817400234,0.02499999999999991,0.0,-1.5707963267948966
0.1,5123.276148569683,17380.902505431124,0.02499999999999991,0.0,-1.5707963267948966
0.13333333333333333,8848.19845167868,29994.960561624874,0.02499999999999991,0.0,-1.5707963267948966
0.16666666666666666,13448.941763422778,45569.22686075895,0.02499999999999991,0.0,-1.5707963267948966
0.2,18844.93552941826,63843.14240269527,0.02499999999999991,0.0,-1.5707963267948966
0.23333333333333334,24956.672130792307,84514.12585413743,0.02499999999999991,0.0,-1.5707963267948966
0.26666666666666666,31704.869749303016,107305.59320230754,0.02499999999999991,0.0,-1.5707963267948966
0.3,39008.851485215804,131955.68372838592,0.02499999999999991,0.0,-1.5707963267948966
0.3333333333333333,46789.2038118557,158157.98971087486,0.02499999999999991,0.0,-1.5707963267948966
0.36666666666666664,54966.841279648506,185659.39822316944,0.02499999999999991,0.0,-1.5707963267948966
0.4,63461.02443065337,214187.82323272896,0.02499999999999991,0.0,-1.5707963267948966
0.43333333333333335,72192.20927685554,243446.69862848066,-0.02499999999999991,0.0,1.5707963267948966
0.4666666666666667,81080.6171512276,273062.0101936046,0.02499999999999991,0.0,-1.5707963267948966
0.5,90045.56168419684,302520.3655222961,0.02499999999999991,0.0,-1.5707963267948966
0.5333333333333333,99008.63302010644,331896.4389125396,0.023096988312782063,0.009567085809127462,-1.5707963267948966
0.5666666666666667,107890.1236450394,361329.6924620802,0.023096988312782063,0.009567085809127462,-1.5707963267948966
0.6,116609.34123297232,390321.91304643167,0.023096988312782063,0.009567085809127462,-1.5707963267948966
0.6333333333333333,125087.44352240975,418486.3056681629,0.017677669529663653,0.017677669529663653,-1.5707963267948966
0.6666666666666666,133243.81773644936,445471.4744060015,0.023096988312782063,0.009567085809127462,-1.5707963267948966
0.7,140997.7315387533,471055.36308386683,0.023096988312782063,0.009567085809127462,-1.5707963267948966
0.7333333333333333,148270.95897414512,495109.99668531417,0.023096988312782063,0.009567085809127462,-1.5707963267948966
0.7666666666666666,154983.72048040543,517424.36354129185,0.023096988312782063,0.009567085809127462,-1.5707963267948966
0.8,161055.28337445686,537593.8890482095,-0.017677669529663653,0.017677669529663653,1.5707963267948966
0.8333333333333334,166406.48827747712,555301.5506406468,-0.017677669529663653,0.017677669529663653,1.5707963267948966
0.8666666666666667,170957.63803598343,570239.8161076994,-0.017677669529663653,0.017677669529663653,1.5707963267948966
0.9,174628.44669304596,582187.9303965435,-0.017677669529663653,0.017677669529663653,1.5707963267948966
0.9333333333333333,177339.16276523023,591015.1647331306,-0.017677669529663653,0.017677669529663653,1.5707963267948966
0.9666666666666667,179010.07823861696,596458.8287079802,-0.017677669529663653,0.017677669529663653,1.5707963267948966
1.0,179561.5932492529,598250.818747881,-0.017677669529663653,0.017677669529663653,-3.141592653589793
