"Category","Total"
"05/17",0
"05/18",1
"05/19",1
"05/20",1
"05/21",0
"05/22",0
"05/23",0
"05/24",0
"05/25",1
"05/26",0
"05/27",0
"05/28",0
"05/29",0
"05/30",390
