"Category","Total"
"05/17",1
"05/18",0
"05/19",0
"05/20",0
"05/21",0
"05/22",0
"05/23",0
"05/24",0
"05/25",0
"05/26",0
"05/27",0
"05/28",7
"05/29",5
"05/30",214
