s,A_x,A_y,A_z,B_x,B_y,B_z
0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.01308996938995747,0.03774036758279155,0.0,0.0,-0.2642699481273802,0.13214629535739938,0.0
0.02617993877991494,0.07249246548756232,0.0,0.0,-0.3157392464374948,0.15792373974012294,0.0
0.039269908169872414,0.10439798931459127,0.0,0.0,-0.33497635419324157,0.1676174040405602,0.0
0.05235987755982988,0.1336300164901204,0.0,0.0,-0.3439102549755534,0.17219110941880655,0.0
0.06544984694978735,0.16037732135697735,0.0,0.0,-0.34830023560597506,0.1745237866268452,0.0
0.07853981633974483,0.18483311274045863,0.0,0.0,-0.3502991243971556,0.1756911594090758,0.0
0.09162978572970229,0.20718733917448826,0.0,0.0,-0.35089087274199704,0.17618454329032654,0.0
0.10471975511965977,0.2276217315787681,0.0,0.0,-0.3505881602663294,0.1762596489323676,0.0
0.11780972450961724,0.2463068631059819,0.0,0.0,-0.3496840067829562,0.17606238740841798,0.0
0.1308996938995747,0.2634006429700391,0.0,0.0,-0.3483578269710753,0.1756818964638982,0.0
0.14398966328953217,0.2790477940949972,0.0,0.0,-0.34672548119066154,0.1751755647536117,0.0
0.15707963267948966,0.29337997941849836,0.0,0.0,-0.34486502015866743,0.17458190300741372,0.0
0.17016960206944712,0.3065163345608869,0.0,0.0,-0.3428308585909296,0.17392762970712303,0.0
0.18325957145940458,0.31856423626557945,0.0,0.0,-0.3406620205505748,0.17323179265617697,0.0
0.19634954084936207,0.32962018957136274,0.0,0.0,-0.3383871600546341,0.17250827822146397,0.0
0.20943951023931953,0.33977075567182335,0.0,0.0,-0.3360277379392918,0.1717673987480029,0.0
0.222529479629277,0.34909347020740555,0.0,0.0,-0.3336000991871692,0.1710169302472391,0.0
0.23561944901923448,0.3576577211585482,0.0,0.0,-0.3311168703969906,0.17026281019756942,0.0
0.24870941840919195,0.3655255688223042,0.0,0.0,-0.32858792349972654,0.1695096185072876,0.0
0.2617993877991494,0.37275249928888016,0.0,0.0,-0.3260210550300611,0.16876091629239356,0.0
0.2748893571891069,0.3793881086769425,0.0,0.0,-0.32342247428343585,0.16801948913237183,0.0
0.28797932657906433,0.38547671907808523,0.0,0.0,-0.3207971602614214,0.16728752475329517,0.0
0.3010692959690218,0.3910579293776633,0.0,0.0,-0.3181491267712402,0.16656674481917202,0.0
0.3141592653589793,0.39616710534097516,0.0,0.0,-0.3154816221031527,0.16585850404143873,0.0
0.32724923474893675,0.40083581391689893,0.0,0.0,-0.3127972813648609,0.16516386564425906,0.0
0.34033920413889424,0.40509220684885505,0.0,0.0,-0.3100982440594278,0.1644836594770175,0.0
0.3534291735288517,0.40896135855535004,0.0,0.0,-0.3073862458091928,0.16381852722342233,0.0
0.36651914291880916,0.4124655629576317,0.0,0.0,-0.30466269061443213,0.16316895789981806,0.0
0.37960911230876665,0.4156245935623301,0.0,0.0,-0.3019287082931265,0.16253531596415452,0.0
0.39269908169872414,0.4184559306994938,0.0,0.0,-0.2991852005228389,0.16191786374441836,0.0
0.4057890510886816,0.42097495940109064,0.0,0.0,-0.2964328780323589,0.16131677945869732,0.0
0.41887902047863906,0.42319514100004746,0.0,0.0,-0.293672290860554,0.16073217178397106,0.0
0.43196898986859655,0.42512816114555213,0.0,0.0,-0.29090385313983647,0.1601640917007365,0.0
0.445058959258554,0.4267840565717505,0.0,0.0,-0.28812786352222886,0.1596125421708873,0.0
0.4581489286485115,0.4281713226257556,0.0,0.0,-0.28534452211306377,0.15907748607981514,0.0
0.47123889803846897,0.429297003256547,0.0,0.0,-0.2825539445870672,0.15855885277857537,0.0
0.4843288674284264,0.43016676488693917,0.0,0.0,-0.2797561740171748,0.1580565434897715,0.0
0.4974188368183839,0.43078495533368094,0.0,0.0,-0.27695119083594427,0.15757043578558125,0.0
0.5105088062083414,0.4311546487027133,0.0,0.0,-0.2741389212642251,0.15710038730375084,0.0
0.5235987755982988,0.43127767696430447,0.0,0.0,-0.2713192444755713,0.15664623883429699,0.0
0.5366887449882562,0.4311546487027133,0.0,0.0,-0.2684919987131251,0.1562078168837767,0.0
0.5497787143782138,0.43078495533368094,0.0,0.0,-0.26565698653495523,0.15578493580360517,0.0
0.5628686837681712,0.43016676488693917,0.0,0.0,-0.2628139793315646,0.15537739955275845,0.0
0.5759586531581287,0.429297003256547,0.0,0.0,-0.2599627212335747,0.1549850031523293,0.0
0.5890486225480862,0.4281713226257556,0.0,0.0,-0.2571029325070103,0.15460753387909665,0.0
0.6021385919380436,0.4267840565717505,0.0,0.0,-0.2542343125170281,0.15424477223695673,0.0
0.6152285613280011,0.4251281611455522,0.0,0.0,-0.25135654232753285,0.1538964927383405,0.0
0.6283185307179586,0.4231951410000475,0.0,0.0,-0.24846928699322582,0.1535624645222657,0.0
0.6414085001079161,0.42097495940109064,0.0,0.0,-0.24557219759175258,0.1532424518312013,0.0
0.6544984694978735,0.41845593069949377,0.0,0.0,-0.24266491303633136,0.1529362143652477,0.0
0.667588438887831,0.4156245935623302,0.0,0.0,-0.2397470617032704,0.15264350752911338,0.0
0.6806784082777885,0.41246556295763176,0.0,0.0,-0.23681826290385044,0.15236408258486625,0.0
0.6937683776677459,0.40896135855534993,0.0,0.0,-0.23387812822597578,0.1520976867213631,0.0
0.7068583470577035,0.4050922068488551,0.0,0.0,-0.23092626276762718,0.15184406304953493,0.0
0.7199483164476609,0.40083581391689893,0.0,0.0,-0.2279622662813471,0.15160295053126813,0.0
0.7330382858376183,0.39616710534097516,0.0,0.0,-0.22498573424667007,0.1513740838484207,0.0
0.7461282552275759,0.39105792937766326,0.0,0.0,-0.22199625888547533,0.15115719321751123,0.0
0.7592182246175333,0.38547671907808523,0.0,0.0,-0.21899343013364234,0.15095200415478466,0.0
0.7723081940074907,0.3793881086769425,0.0,0.0,-0.21597683658105532,0.15075823719566195,0.0
0.7853981633974483,0.37275249928888016,0.0,0.0,-0.2129460663909086,0.15057560757201224,0.0
0.7984881327874057,0.36552556882230436,0.0,0.0,-0.20990070820835655,0.15040382485021386,0.0
0.8115781021773631,0.3576577211585483,0.0,0.0,-0.2068403520678077,0.15024259253259475,0.0
0.8246680715673207,0.3490934702074057,0.0,0.0,-0.20376459030756197,0.15009160762454804,0.0
0.8377580409572781,0.33977075567182335,0.0,0.0,-0.20067301849999636,0.14995056016939562,0.0
0.8508480103472356,0.32962018957136285,0.0,0.0,-0.19756523640511847,0.14981913275291964,0.0
0.8639379797371931,0.3185642362655795,0.0,0.0,-0.19444084895499825,0.14969699997939112,0.0
0.8770279491271505,0.30651633456088695,0.0,0.0,-0.19129946727634914,0.14958382792089805,0.0
0.890117918517108,0.29337997941849847,0.0,0.0,-0.18814070975834918,0.14947927354180537,0.0
0.9032078879070655,0.2790477940949972,0.0,0.0,-0.18496420317265344,0.14938298410027395,0.0
0.916297857297023,0.26340064297003923,0.0,0.0,-0.18176958385244682,0.14929459652891622,0.0
0.9293878266869804,0.24630686310598202,0.0,0.0,-0.17855649893730263,0.14921373679688438,0.0
0.9424777960769379,0.2276217315787682,0.0,0.0,-0.17532460769054659,0.14914001925596776,0.0
0.9555677654668954,0.2071873391744884,0.0,0.0,-0.17207358289575533,0.149073045973626,0.0
0.9686577348568528,0.18483311274045888,0.0,0.0,-0.16880311233893827,0.14901240605630894,0.0
0.9817477042468103,0.1603773213569776,0.0,0.0,-0.1655129003828509,0.14895767496691198,0.0
0.9948376736367678,0.13363001649012052,0.0,0.0,-0.1622026696397412,0.1489084138407981,0.0
1.0079276430267252,0.10439798931459154,0.0,0.0,-0.1588721627486369,0.1488641688054844,0.0
1.0210176124166828,0.07249246548756243,0.0,0.0,-0.15552114426301256,0.14882447030984675,0.0
1.03410758180664,0.03774036758279187,0.0,0.0,-0.1521494026543137,0.14878883246954827,0.0
1.0471975511965976,1.224646799147353e-16,0.0,0.0,-0.1487567524363442,0.14875675243634418,0.0
1.0602875205865552,-0.037740367582791645,0.0,0.0,-0.14534303641491297,0.14872770979996242,0.0
1.0733774899765125,-0.07249246548756183,0.0,0.0,-0.14190812806635836,0.14870116603240205,0.0
1.08646745936647,-0.10439798931459102,0.0,0.0,-0.13845193404760464,0.1486765639857319,0.0
1.0995574287564276,-0.13363001649012032,0.0,0.0,-0.13497439683921014,0.14865332745579984,0.0
1.112647398146385,-0.16037732135697685,0.0,0.0,-0.13147549752141427,0.1486308608256674,0.0
1.1257373675363425,-0.18483311274045827,0.0,0.0,-0.12795525868144536,0.14860854880405472,0.0
1.1388273369263,-0.20718733917448803,0.0,0.0,-0.12441374744827563,0.1485857562755877,0.0
1.1519173063162573,-0.2276217315787679,0.0,0.0,-0.12085107864856334,0.1485618282811579,0.0
1.1650072757062149,-0.24630686310598177,0.0,0.0,-0.11726741807467826,0.1485360901481936,0.0
