tau,rms,max,worst_x,worst_y,worst_z
0.0,0.7069112623752206,1.0039907246135162,0.0,0.0,0.0
0.041666666666666664,20.675026626869734,101.60046340280125,0.0,0.0,0.0
0.08333333333333333,68.35095005311288,352.81401938385414,0.0,0.0,0.0
0.125,141.03526290851244,740.4560669926467,0.0,0.0,-3.141592653589793
0.16666666666666666,236.60290897741456,1252.2527306224104,0.0,0.0,0.0
0.20833333333333331,351.12595211005345,1869.7250660272196,0.0,0.0,0.0
0.25,483.1167324683528,2582.136044109872,0.0,0.0,0.0
0.29166666666666663,629.6595244599436,3374.7508615337983,0.0,0.0,0.0
0.3333333333333333,787.8293940623771,4232.625036451698,0.0,0.0,-3.141592653589793
0.375,956.875173687555,5147.914247809454,0.0,0.0,-3.141592653589793
0.41666666666666663,1132.5162331386468,6100.319869969788,0.0,0.0,-3.141592653589793
0.4583333333333333,1313.221328789269,7080.465649745949,0.0,0.0,0.0
0.5,1495.5156763280181,8071.705719375455,0.0,0.0,-3.141592653589793
0.5416666666666666,1677.6916026901042,9064.283185669845,0.0,0.0,-3.141592653589793
0.5833333333333333,1856.8065472149356,10037.145790046638,0.0,0.0,-3.141592653589793
0.625,2030.4367655029714,10980.611949430833,0.0,0.0,-3.141592653589793
0.6666666666666666,2196.315492874041,11883.700284615443,0.0,0.0,-3.141592653589793
0.7083333333333333,2349.8885366465406,12725.941556483196,0.0,0.0,-3.141592653589793
0.75,2491.245076172545,13496.696607423633,0.0,0.0,-3.141592653589793
0.7916666666666666,2616.9022413989924,14183.777426585359,0.0,0.0,0.0
0.8333333333333333,2724.3746245453076,14773.949193819743,0.0,0.0,-3.141592653589793
0.875,2811.6064173484892,15253.252631402165,0.0,0.0,-3.141592653589793
0.9166666666666666,2875.208884266905,15605.52537587593,0.0,0.0,-3.141592653589793
0.9583333333333333,2912.8987870091873,15818.002851688563,0.0,0.0,0.0
1.0,2922.2278337443445,15877.111856338683,0.0,0.0,-3.141592653589793
